datetime,count
2011-01-20 00:00:00,12.502
2011-01-20 01:00:00,4.99
2011-01-20 02:00:00,3.522
2011-01-20 03:00:00,3.26
2011-01-20 04:00:00,2.862
2011-01-20 05:00:00,4.93
2011-01-20 06:00:00,35.58
2011-01-20 07:00:00,98.408
2011-01-20 08:00:00,206.158
2011-01-20 09:00:00,116.904
2011-01-20 10:00:00,59.752
2011-01-20 11:00:00,60.152
2011-01-20 12:00:00,81.046
2011-01-20 13:00:00,71.672
2011-01-20 14:00:00,78.332
2011-01-20 15:00:00,83.998
2011-01-20 16:00:00,94.422
2011-01-20 17:00:00,187.474
2011-01-20 18:00:00,171.644
2011-01-20 19:00:00,100.93
2011-01-20 20:00:00,74.778
2011-01-20 21:00:00,47.278
2011-01-20 22:00:00,43.952
2011-01-20 23:00:00,21.984
2011-01-21 00:00:00,17.194
2011-01-21 01:00:00,5.804
2011-01-21 02:00:00,5.048
2011-01-21 03:00:00,2.776
2011-01-21 04:00:00,1.916
2011-01-21 05:00:00,3.912
2011-01-21 06:00:00,33.686
2011-01-21 07:00:00,97.126
2011-01-21 08:00:00,187.686
2011-01-21 09:00:00,121.806
2011-01-21 10:00:00,51.158
2011-01-21 11:00:00,60.332
2011-01-21 12:00:00,68.082
2011-01-21 13:00:00,67.552
2011-01-21 14:00:00,65.796
2011-01-21 15:00:00,62.76
2011-01-21 16:00:00,77.204
2011-01-21 17:00:00,141.658
2011-01-21 18:00:00,138.948
2011-01-21 19:00:00,100.956
2011-01-21 20:00:00,65.824
2011-01-21 21:00:00,40.776
2011-01-21 22:00:00,32.704
2011-01-21 23:00:00,19.588
2011-01-22 00:00:00,29.81
2011-01-22 01:00:00,17.156
2011-01-22 02:00:00,13.552
2011-01-22 03:00:00,7.79
2011-01-22 04:00:00,3.064
2011-01-22 06:00:00,5.384
2011-01-22 07:00:00,16.952
2011-01-22 08:00:00,28.054
2011-01-22 09:00:00,33.138
2011-01-22 10:00:00,54.87
2011-01-22 11:00:00,57.782
2011-01-22 12:00:00,65.726
2011-01-22 13:00:00,78.822
2011-01-22 14:00:00,73.446
